trade_dt,turnover
20190102,0.0
20190103,2.000000000000006
20190104,0.503796200762688
20190107,0.5763278767735873
20190108,0.30095361240804785
20190109,0.3900529808272341
20190110,0.36666291901433845
20190111,0.3606239217473927
20190114,0.32073517403939344
20190115,0.4708342259860454
20190116,0.8319002827863521
20190117,0.38113159496585164
20190118,0.554014280495685
20190121,0.5044221801792229
20190122,0.5092803927502149
20190123,0.4676360370084059
20190124,0.44641076271681335
20190125,0.5845466121778444
20190128,0.433170794261835
20190129,0.6435562134174213
20190130,1.0201953416101315
20190131,0.3704352249775176
20190201,0.5020815519746692
20190211,0.5229058016423191
20190212,0.6000335993985643
20190213,0.6540537302368881
20190214,0.6077128401099302
20190215,0.7979321640738531
20190218,0.5414982056406058
20190219,0.43619202306795835
20190220,0.6493591981975002
20190221,0.43260054830623534
20190222,0.3565408904290292
20190225,0.4569733664902459
20190226,0.4410186322056872
20190227,0.5403953671760784
20190228,0.7675105736374155
20190301,0.41561557127671983
20190304,0.7349104739932136
20190305,0.40055083918176704
20190306,0.6583914382886555
20190307,0.928480495647093
20190308,0.6159521566021219
20190311,0.7066472881226709
20190312,0.46632941499188235
20190313,0.48292825524827904
20190314,0.650415003035886
20190315,0.5332817514914083
20190318,0.4783992392007594
20190319,0.4608330437101211
20190320,0.7811573455954179
20190321,0.43278424631339846
20190322,0.7795537429881179
20190325,0.40704117380481986
20190326,1.2633608413014552
20190327,0.722558277243619
20190328,0.5454111796531027
20190329,0.4598461428899927
20190401,0.5128452315269085
20190402,0.4300202059945443
20190403,0.6543634715925221
20190404,0.5681842601005621
20190408,0.5075695468734598
20190409,0.8319165364076332
20190410,0.4142231337011882
20190411,0.4851947290627448
20190412,0.48953203681285884
20190415,0.8177128210520606
20190416,1.053296844211829
20190417,0.4489385394734894
20190418,0.38914439977416604
20190419,0.4222358504613843
20190422,0.40100733731918964
20190423,0.5886035511098858
20190424,0.609555892631282
20190425,0.4428645432889353
20190426,0.6016864331956797
20190429,0.5469939761764456
20190430,0.6962993405464262
20190506,0.8524132157465263
20190507,0.8227838357206875
20190508,0.6153309844714959
20190509,0.8959158348077848
20190510,0.8600896498510923
20190513,1.048818455440343
20190514,1.0921403002247854
20190515,0.6799341408793671
20190516,0.7248571737296396
20190517,0.3985295207186394
20190520,1.108794049781321
20190521,0.5994344679175618
20190522,0.6534458873931468
20190523,0.3971902348270263
20190524,1.104556327795373
20190527,0.7787374265518616
20190528,1.2751452902381537
20190529,0.9462061562456017
20190530,0.4351377255754971
20190531,0.8392177293242453
20190603,0.48499912805585255
20190604,0.5811430725203338
20190605,0.48224197361923515
20190606,0.4141520254202965
20190610,0.41415383741058626
20190611,0.5426815340587937
20190612,0.9763833224398074
20190613,0.5828089467797207
20190614,0.4212475832592653
20190617,0.5746417760226085
20190618,0.5058548935565306
20190619,0.5218052466041376
20190620,0.9311850445230231
20190621,0.5899272790176178
20190624,0.7784001516276375
20190625,0.7229698623913499
20190626,0.38291706459605596
20190627,0.720208807426056
20190628,0.4691713212400241
20190701,0.5098886522345987
20190702,0.5370023751500963
20190703,0.41168014631805216
20190704,0.7957688951126366
20190705,0.5062997302643121
20190708,0.6399699530476107
20190709,0.7623977475594004
20190710,0.6135620685069497
20190711,0.5214480479281327
20190712,0.3724683923472109
20190715,0.6258265186328104
20190716,0.9777148502202629
20190717,0.3970215441896783
20190718,0.2665125724607187
20190719,0.3917993400545307
20190722,0.48656935962715564
