year,days,rankic_daily,rankic_weekly,icir_annual,g1,g2,g10,g1_g2,g1_g10,overlap10,ndcg10,topq
2019,244.0,-0.016592061422474647,-0.009326308412966854,-2.4303894632347833,0.012060912325978279,0.012355430983006954,0.009111114777624607,-0.0002945186570286751,0.002949797548353672,0.14784241680845908,0.5070321930693515,0.4877540828263173
2020,243.0,0.00476597732212628,0.007410860468033004,0.4194830158516451,0.01603434421122074,0.00877405796200037,0.002237327629700303,0.007260286249220371,0.013797016814351082,0.1850830482368148,0.5499239997813476,0.5243472792974715
2021,243.0,-0.07765198433368169,-0.08036412138697,-7.890464360028016,0.004357228986918926,0.006931592244654894,0.010388954542577267,-0.0025743632577359676,-0.0060317255556583405,0.16940573154281993,0.484164183618968,0.4625290457481219
2022,242.0,-0.07678900109611249,-0.07845478738188053,-7.792064601060762,-0.00652896985411644,-0.004789406433701515,0.0004248061159159988,-0.0017395634204149246,-0.006953775882720947,0.16483672506245267,0.48518786729239227,0.4662250040237569
2023,242.0,-0.11023125694999072,-0.10769410029403391,-9.536194203870162,-0.009187840856611729,-0.0048816814087331295,0.0029936861246824265,-0.004306159447878599,-0.012181526981294155,0.15571311466779783,0.44884487605177925,0.43270559818291465
2024,242.0,-0.07219270099274634,-0.06767237830438201,-4.6725191933058,-0.0008024272974580526,0.003475245786830783,0.006091763265430927,-0.0042776730842888355,-0.0068941907957196236,0.14184878980044593,0.4730893049320726,0.4567197887611783
2025,243.0,-0.05927579530116514,-0.060218683602364875,-5.779682421695321,0.016380663961172104,0.017576472833752632,0.014618189074099064,-0.0011958088725805283,0.00176247488707304,0.1802130410831863,0.4759922405671939,0.4571745120939404
2026,154.0,-0.04746158593385276,-0.050822175081385416,-2.6138372312738083,0.007361926604062319,-0.003736328100785613,-0.0041206912137568,0.011098254472017288,0.011482617817819118,0.2121592520213224,0.5132294204840543,0.4907334406267513
ALL,1853.0,-0.057313762153421384,-0.05673498919406638,-4.796553781653953,0.00486486591398716,0.004871825221925974,0.005672106985002756,-6.959307938814163e-06,-0.0008072410710155964,0.16760878862851686,0.4912176279387059,0.4714283292527078
