trade_dt,pnl,prop_pnl
20190102,0.0,0.0
20190103,0.016080847682779557,0.014080847682779552
20190104,0.00016214361770485602,-0.00034165258305783206
20190107,-0.003000029703745754,-0.0035763575805193414
20190108,0.00044656582723976324,0.0001456122148317154
20190109,0.0002310664931101579,-0.0001589864877170762
20190110,0.0004843813754937575,0.00011771845647941904
20190111,-0.0005140248030855662,-0.000874648724832959
20190114,0.004207704426085173,0.0038869692520457793
20190115,0.005885659664246893,0.005414825438260848
20190116,0.0018999237276995512,0.0010680234449131991
20190117,-0.010525391171773292,-0.010906522766739144
20190118,0.017042133323268496,0.016488119042772812
20190121,-6.486425691384077e-05,-0.0005692864370930637
20190122,-0.004548026993728857,-0.005057307386479072
20190123,-0.0032791774608613823,-0.0037468134978697882
20190124,0.0071780112926857955,0.006731600529968982
20190125,0.01120473716010512,0.010620190547927275
20190128,0.004949633089141023,0.004516462294879188
20190129,0.005989369309597587,0.005345813096180166
20190130,0.014337021866505656,0.013316826524895523
20190131,0.018636676699761934,0.018266241474784416
20190201,-0.006364264386853959,-0.006866345938828629
20190211,-0.020555955210830975,-0.021078861012473294
20190212,-0.004954103798091945,-0.005554137397490509
20190213,-0.0007194637473188453,-0.0013735174775557333
20190214,-0.0076989236763025685,-0.008306636516412499
20190215,-0.00515393120744664,-0.005951863371520493
20190218,-0.007695466990245947,-0.008236965195886552
20190219,-0.007843313035302769,-0.008279505058370728
20190220,0.002516128458909018,0.0018667692607115176
20190221,-0.005468089909988504,-0.005900690458294739
20190222,-0.007785900604094994,-0.008142441494524023
20190225,-0.006439849371864622,-0.006896822738354867
20190226,0.009260498639358877,0.00881948000715319
20190227,0.0024167224795609795,0.001876327112384901
20190228,0.021267908678061477,0.020500398104424063
20190301,-0.015343676551484602,-0.015759292122761323
20190304,-0.012574308382835563,-0.013309218856828776
20190305,-0.005784590794549788,-0.006185141633731555
20190306,-0.006602423530646594,-0.00726081496893525
20190307,-0.0059219056134423645,-0.006850386109089458
20190308,-0.00035016605529513653,-0.0009661182118972584
20190311,0.02555199673560153,0.024845349447478862
20190312,-0.005047405189465716,-0.005513734604457599
20190313,0.02094981251778833,0.020466884262540053
20190314,0.016971394334540875,0.01632097933150499
20190315,0.012679993409895392,0.012146711658403983
20190318,0.008357347735719606,0.007878948496518847
20190319,-0.004572777092552008,-0.005033610136262129
20190320,-0.0003939992361077729,-0.001175156581703191
20190321,-0.0020844876666532017,-0.0025172719129666
20190322,0.00910120399148048,0.008321650248492362
20190325,0.002488547341965292,0.002081506168160472
20190326,-0.0027202368928717444,-0.0039835977341732
20190327,0.007460889646619146,0.006738331369375527
20190328,0.008595428499762657,0.008050017320109555
20190329,0.005599661382369869,0.005139815239479876
20190401,-0.005587470583570014,-0.0061003158150969225
20190402,-0.004740476748212994,-0.005170496954207538
20190403,0.008771075543244203,0.008116712071651681
20190404,0.0011684977103664689,0.0006003134502659068
20190408,-0.0016908554782756853,-0.0021984250251491453
20190409,0.003367996349659686,0.0025360798132520526
20190410,0.013376911544963458,0.012962688411262269
20190411,0.006593724401306665,0.00610852967224392
20190412,0.0008952833297031358,0.0004057512928902769
20190415,-0.003031162827596884,-0.0038488756486489443
20190416,-0.0019966400068830523,-0.0030499368510948813
20190417,-0.0026981390655504917,-0.0031470776050239813
20190418,0.01053200184194299,0.010142857442168824
20190419,0.0030705740810390457,0.002648338230577661
20190422,-0.0025296614467670187,-0.0029306687840862083
20190423,0.009629960418778368,0.009041356867668483
20190424,0.007951502969670423,0.007341947077039141
20190425,-0.0013943057234253836,-0.001837170266714319
20190426,0.007747005659194839,0.007145319225999159
20190429,0.021857615094148627,0.021310621117972182
20190430,0.019427631352149838,0.018731332011603413
20190506,-0.01485187036048563,-0.01570428357623216
20190507,0.015629792618316478,0.01480700878259579
20190508,0.019594116810621207,0.018978785826149713
20190509,0.013818103731526808,0.012922187896719024
20190510,0.005526700158337789,0.004666610508486697
20190513,-0.0017975392834118015,-0.0028463577388521443
20190514,0.00727056585862549,0.0061784255584007046
20190515,0.0008381134539300079,0.0001581793130506408
20190516,0.003700532423074172,0.002975675249344532
20190517,-0.0036020637379108444,-0.0040005932586294835
20190520,0.029230215269391548,0.028121421219610226
20190521,0.011442273345252317,0.010842838877334756
20190522,-0.0025871065654209735,-0.0032405524528141202
20190523,0.010781315642022542,0.010384125407195516
20190524,0.01694603328548405,0.015841476957688675
20190527,0.004438617643876804,0.0036598802173249427
20190528,-0.005465424474219438,-0.006740569764457592
20190529,-0.0065496354169487635,-0.007495841573194365
20190530,0.0015056783232672284,0.0010705405976917312
20190531,-0.009438956121493118,-0.010278173850817363
20190603,0.01282066693766882,0.012335667809612968
20190604,0.013794188102357685,0.013213045029837351
20190605,0.002465174098788596,0.0019829321251693607
20190606,0.019583332268566712,0.019169180243146417
20190610,-0.000864753055294401,-0.0012789068927049872
20190611,-0.0045335863791393155,-0.005076267913198109
20190612,-0.00892408807490042,-0.009900471397340228
20190613,0.00042988242587208383,-0.00015292652090763696
20190614,0.013969044497073365,0.0135477969138141
20190617,0.012299491634489174,0.011724849858466566
20190618,0.0031807438384624754,0.002674888944905945
20190619,0.0026912026190575727,0.0021693973724534353
20190620,0.01729394993276343,0.016362764888240407
20190621,-0.008770419628847923,-0.009360346907865542
20190624,0.00020578905763987687,-0.0005726110939877607
20190625,-0.0030753166146463163,-0.003798286477037666
20190626,0.001778423981242149,0.0013955069166460931
20190627,-0.0002946534549624706,-0.0010148622623885265
20190628,0.0020517100319934604,0.0015825387107534362
20190701,-0.002034768764141567,-0.002544657416376166
20190702,-0.003219784580573896,-0.0037567869557239924
20190703,0.009898328447116767,0.009486648300798714
20190704,0.006624059169134219,0.005828290274021582
20190705,-0.003863103086536649,-0.004369402816800962
20190708,-0.000605993677856762,-0.0012459636309043727
20190709,0.003793979036032708,0.0030315812884733075
20190710,0.003596571672453842,0.0029830096039468925
20190711,0.0016383590392032572,0.0011169109912751245
20190712,0.009675512460065589,0.009303044067718378
20190715,-0.001999866635171599,-0.002625693153804409
20190716,-0.006266024382989396,-0.007243739233209659
20190717,0.002371313294549168,0.00197429175035949
20190718,0.005042277678266614,0.004775765105805896
20190719,0.005414971570460428,0.005023172230405898
20190722,-0.07496614461330986,-0.07545271397293701
20190723,0.0018846574652769685,0.0009370151854741231
20190724,-0.013292331460901568,-0.014009844094982137
20190725,-0.007925348756063742,-0.008478815242955993
20190726,0.006015695632592653,0.005445742249455245
20190729,-0.011430558006284662,-0.011759238691578057
20190730,-0.00048724150426032557,-0.00088780774920309
20190731,-0.0027342980558702403,-0.0031060625421220948
20190801,-0.016290515315792006,-0.01685136222654239
20190802,-0.0133284351546025,-0.013731219462947085
20190805,-0.01565047677664414,-0.01604171132456484
20190806,-0.002382263305401979,-0.002810917549632374
20190807,0.0023336501639796003,0.0019218368023529988
20190808,-0.005020401816837712,-0.005581665284254125
20190809,0.0029099363993354377,0.0025196811083869875
20190812,-0.009704499169679193,-0.010071092268840141
20190813,-0.010827973744716493,-0.011812938999927653
20190814,0.004755026060276063,0.004162466689823434
20190815,-0.004543774432090656,-0.0056863043106978334
20190816,0.0017285881533231873,0.0012338294519181575
20190819,0.0018049814221471191,0.0014068632952598296
20190820,-0.0043487243429321904,-0.004890531610036162
20190821,0.008743011603484762,0.008353616522217689
20190822,0.003541200126864262,0.003178560462124855
20190823,0.010462405983799328,0.010171481782774125
20190826,-0.006731085064445837,-0.007076382432967974
20190827,0.006198157689864699,0.0058046673571495845
20190828,0.0069651058176065355,0.006509308553171364
20190829,-0.0029355065817495756,-0.003568779896861152
20190830,-0.0010433500503316115,-0.0017849256701254876
20190902,0.0064120844539175305,0.0059536215171587985
20190903,-0.010306420200856712,-0.01069104271144161
20190904,0.0050950590044117365,0.004667660645846439
20190905,-0.0018937020077963512,-0.0024284593948750367
20190906,0.0005860661751401078,0.00017042590210970056
20190909,-0.005469762691299041,-0.005748803932558916
20190910,0.0008172696918364334,0.00042471493706304427
20190911,0.004996817774826628,0.004641741690986534
20190912,0.006619694461440714,0.006149834206558672
20190916,-0.005852403262265082,-0.006213258316133678
20190917,-0.01052819165533964,-0.010985012190109385
20190918,0.001944841728098039,0.0014457375590631338
20190919,0.0021465300440678316,0.0014845743745100354
20190920,0.0025494083977781407,0.0019589799630631566
20190923,-0.006435673056471211,-0.0068748845320890225
20190924,-0.0008614200800486858,-0.0015513403229502356
20190925,-0.004692242263216703,-0.005093630232526755
20190926,0.020651777185031358,0.020186551546036213
20190927,0.0074011603367923305,0.006579245161615005
20190930,0.0011800755389912267,0.0005591428435262687
20191008,0.008466655142389472,0.007345846083386133
20191009,0.009386000354284328,0.00869221403925523
20191010,-0.0004185409894325831,-0.0008716987932220512
20191011,0.009505964158485689,0.00875550176546918
20191014,-0.001971158825953265,-0.0024060370598502664
20191015,0.005565288548132595,0.005172602287324291
20191016,0.004481712029455345,0.00397694181955042
20191017,0.0036300589140119484,0.0031621965446039222
20191018,-0.011621991979813309,-0.012342928690643299
20191021,0.01608003219205449,0.015565720748687943
20191022,0.0005688997440650285,0.00015633266060063547
20191023,-0.0004821598823425595,-0.0009478428477099384
20191024,0.00697205517195696,0.006458267126611457
20191025,0.006826090397156089,0.00643196846376725
20191028,-0.01683420524893485,-0.017371626232395528
20191029,0.0010458172563449185,9.83229154828348e-05
20191030,-0.00865465932930399,-0.009385443463581649
20191031,0.004651170985967905,0.004089992044896532
20191101,0.005437796091834084,0.004863791398811059
20191104,-0.00682695722346582,-0.007344341641639434
20191105,0.0006761566095708839,-6.15117006897587e-05
20191106,-0.0034254753782054018,-0.003781851341857575
20191107,-0.0087981359698101,-0.009206563791897734
20191108,-0.006277642293712939,-0.006631012358856986
20191111,-0.0046453139179010675,-0.004976461197682201
20191112,-0.00156053127628298,-0.002034684026157924
20191113,-0.003491321251131077,-0.0039097660492659276
20191114,-0.0034928689218256476,-0.00390050067482398
