date,tv_half
2019-01-07,0.5
2019-01-21,0.3880133900773095
2019-02-11,0.5083612366382575
2019-02-18,0.296476776614919
2019-03-04,0.5328348821644662
2019-03-18,0.4387005895718704
2019-04-01,0.44300967086779397
2019-04-15,0.48358563872298066
2019-04-29,0.4827298581840479
2019-05-13,0.4945100194689621
2019-05-27,0.6183780967240762
2019-06-24,0.8689219285866259
2019-07-08,0.5249239278264102
2019-07-22,0.5095331269144066
2019-08-05,0.3193561387962021
2019-08-19,0.30592238872215705
2019-09-02,0.5320338541695311
2019-09-30,0.5924077047704633
2019-10-14,0.39318925394056004
2019-10-28,0.45679248943683304
2019-11-11,0.3954089524267894
2019-11-25,0.4529624927025787
2019-12-09,0.5782919413334866
2019-12-23,0.598330127536987
2020-01-06,0.5873352273872025
2020-01-20,0.6095877487533027
2020-02-17,0.8234483348051802
2020-03-02,0.4473352290380863
2020-03-16,0.5716691565791887
2020-03-30,0.5095301607409706
2020-04-13,0.44604457073505366
2020-04-27,0.5885222222389941
2020-05-11,0.560044561009833
2020-05-25,0.7021441801872097
2020-06-08,0.55536282065009
2020-06-22,0.5937673862881259
2020-07-06,0.7000365038421292
2020-07-20,0.6591488517362116
2020-08-03,0.6645256962997831
2020-08-17,0.5382948537521985
2020-08-31,0.5685170876369023
2020-09-14,0.6963338255691769
2020-09-28,0.4885829766938819
2020-10-12,0.43706727290600716
2020-10-26,0.5409421058316988
2020-11-09,0.5778456844840529
2020-11-23,0.5096517989758653
2020-12-07,0.6349086088989541
2020-12-21,0.4985760111411636
2021-01-18,0.8181310245930671
2021-02-01,0.4652368827124091
2021-03-01,0.5891705825849656
2021-03-15,0.5617722395911643
2021-03-29,0.685025789892437
2021-04-12,0.5066586448411887
2021-04-26,0.4575431914446891
2021-05-10,0.42651627525902086
2021-05-24,0.41469931205271016
2021-06-07,0.45960223308458886
2021-06-21,0.3484771880236483
2021-07-05,0.37077087196083736
2021-07-19,0.31181066894621995
2021-08-02,0.5576610348803792
2021-08-16,0.4731268275722192
2021-08-30,0.36793189776278834
2021-09-13,0.6053033892270904
2021-09-27,0.39965313703591776
2021-10-11,0.5371210643601678
2021-10-25,0.635438120218238
2021-11-08,0.5845765343125329
2021-11-22,0.38822717398923695
2021-12-06,0.32459855046072084
2021-12-20,0.3352265505074205
2022-01-04,0.32351075633213305
2022-01-10,0.20105433046342255
2022-01-24,0.44949135951184566
2022-02-21,0.5518540882340348
2022-03-07,0.41053009561500864
2022-03-21,0.4067124835325081
2022-04-06,0.3404479520279259
2022-04-18,0.5203852525618606
2022-05-05,0.5967534473764899
2022-05-16,0.4042264476898853
2022-05-30,0.3508155278017878
2022-06-13,0.3860627196410059
