date,r_p,r_b,excess,nav_p,nav_b,nav_ex
2019-01-07,0.005017711657540946,0.009063897870857485,-0.004046186213316538,1.005017711657541,1.0090638978708575,0.9959538137866835
2019-01-08,0.0027526484347344393,-0.002261471831882078,0.0050141202666165174,1.0077841720884155,1.0067819282892534,1.0009476459890052
2019-01-09,0.004166873051212994,0.008279534126815369,-0.004112661075602375,1.0119834807965298,1.0151176136227853,0.9968310875666304
2019-01-10,0.0009727118232831788,-0.0018149870908837906,0.0027876989141669695,1.0129678490932679,1.013275188258331,0.9996099525070479
2019-01-11,0.007750875583424133,0.007316661943438829,0.0004342136399853036,1.0208192368615985,1.0206889802664916,1.0000439967830914
2019-01-14,-0.002448239845027844,-0.008196065396624874,0.00574782555159703,1.018320026531343,1.012323346634613,1.0057920752205225
2019-01-15,0.00943702397643742,0.01829604152539388,-0.00885901754895646,1.0279299370374058,1.0308448566217656,0.9968817455755425
2019-01-16,-0.0015612697267129994,-0.00042646557466141655,-0.0011348041520515828,1.0263250611455272,1.0304052367775995,0.995750480031559
2019-01-17,-0.00827806079764637,-0.006027084374630731,-0.002250976423015638,1.0178290798912164,1.0241948974754795,0.9935090691778015
2019-01-18,0.0063393178943997874,0.016301756989294258,-0.00996243909489447,1.0242814219908112,1.0408910738038,0.9836112955858923
2019-01-21,0.0049887196743718665,0.00561478556080508,-0.0006260658864332136,1.0293912748727903,1.0467354539753644,0.9829954901082156
2019-01-22,-0.008771355525355018,-0.013685808171963965,0.004914452646608947,1.0203621180261826,1.032410033345464,0.9878263748961826
2019-01-23,0.0015376221402545465,-0.0001312691744010941,0.0016688913146556406,1.0219310494099367,1.0322745097327433,0.9894749497536346
2019-01-24,0.007057010723386048,0.0055394512360007475,0.0015175594873853004,1.0291428277841839,1.0379927440415744,0.9909765368511633
2019-01-25,-0.008468282170434271,0.005073894231308662,-0.013542176401742934,1.0204277559248287,1.0432594094377072,0.9775565577791365
2019-01-28,-0.01029979575993234,-0.0007861659155864453,-0.009513629844345894,1.009917558451037,1.0424392344488924,0.9682564465365129
2019-01-29,-0.020555356579504358,-0.0004923841513388982,-0.02006297242816546,0.9891583429211734,1.0419259538911159,0.9488303441462573
2019-01-30,-0.01591232100638329,-0.008462480600146649,-0.007449840406236641,0.9734185378424696,1.033108675719523,0.9417617095097731
2019-01-31,-0.02221177529957219,0.006037592701977346,-0.028249368001549535,0.9517971840074745,1.0393461651203966,0.9151575364080632
2019-02-01,0.026120160684588667,0.017519832200324714,0.008600328484263953,0.9766582793928887,1.057555335531357,0.9230281918360222
2019-02-11,0.023606582849537983,0.019854717913475817,0.003751864936062166,0.9997138439810642,1.0785527983962233,0.9264912689439687
2019-02-12,0.012730676625362314,0.007476085047303904,0.00525459157805841,1.0124408776466851,1.0866161508450412,0.9313596021629064
2019-02-13,0.014187859191512997,0.019176863738721073,-0.004989004547208076,1.026805246258468,1.10745404070609,0.9267130448726297
2019-02-14,0.0012269569129412794,0.0021810848812759964,-0.000954127968334717,1.0280650920536092,1.109869491970982,0.9258288420378962
2019-02-15,-0.001835061545247818,-0.01578180716536437,0.013946745620116552,1.02617852933717,1.092353745669975,0.9387411413855657
2019-02-18,0.02834667395803936,0.03279515689670198,-0.0044484829386626235,1.055267277531031,1.128177658145922,0.9345651674342914
2019-02-19,0.002378999058474607,-0.001034814187271027,0.003413813245745634,1.0577777573907163,1.1270102038995105,0.9377555983818909
2019-02-20,0.0036173066042968216,0.0027430146802989164,0.0008742919239979052,1.0616040638584041,1.1301016094336536,0.9385754705282401
2019-02-21,-0.0030628824824298073,-0.0024678289516213425,-0.0005950535308084648,1.058352495367936,1.1273127119636193,0.9380169678805721
2019-02-22,0.015585611215570783,0.023171539767601557,-0.007585928552030774,1.0748475658897698,1.1534342832994071,0.9309012381816375
2019-02-25,0.04474831836983606,0.05862139076794293,-0.013873072398106867,1.1229451869672487,1.2210502051458438,0.9179867779088563
