date,tv_half
2019-01-07,0.5
2019-01-21,0.38802098034245425
2019-02-11,0.508364141587236
2019-02-18,0.2964776434155859
2019-03-04,0.532836365662339
2019-03-18,0.4387051282077231
2019-04-01,0.4430091724917152
2019-04-15,0.48358405998562537
2019-04-29,0.48274247671473786
2019-05-13,0.4945053728484463
2019-05-27,0.6183934129232328
2019-06-24,0.868925094136872
2019-07-08,0.5249193278811399
2019-07-22,0.5095296693023375
2019-08-05,0.31935296156295456
2019-08-19,0.30592627448455123
2019-09-02,0.5320361324518109
2019-09-30,0.592405999662752
2019-10-14,0.39319209708227987
2019-10-28,0.4567911720932054
2019-11-11,0.3954089524267894
2019-11-25,0.45296512949956025
2019-12-09,0.5782909634871488
2019-12-23,0.5983301275369871
2020-01-06,0.5873352273872025
2020-01-20,0.6095877487533026
2020-02-17,0.8234547169585247
2020-03-02,0.44733703081425236
2020-03-16,0.5716673621746853
2020-03-30,0.5095282218765489
2020-04-13,0.4460569963565131
2020-04-27,0.5885319346401197
2020-05-11,0.5600725854173221
2020-05-25,0.7021740783358509
2020-06-08,0.5553905695677758
2020-06-22,0.5937824859438154
2020-07-06,0.700064373335388
2020-07-20,0.6591719450894948
2020-08-03,0.6645442589174766
2020-08-17,0.5383181010956002
2020-08-31,0.568538279337845
2020-09-14,0.6963719158963209
2020-09-28,0.48859892710965613
2020-10-12,0.4370871716714495
2020-10-26,0.5409690992537391
2020-11-09,0.5778803951950915
2020-11-23,0.5096812900102322
2020-12-07,0.6349454973265325
2020-12-21,0.4986062508147086
2021-01-18,0.8181894382031228
2021-02-01,0.46527598901515627
2021-03-01,0.5892375928349932
2021-03-15,0.561804284453336
2021-03-29,0.6850784045653907
2021-04-12,0.5067014627447405
2021-04-26,0.4575758986140177
2021-05-10,0.4265561706511789
2021-05-24,0.4147341685004713
2021-06-07,0.4596452076585718
2021-06-21,0.34851396949685887
2021-07-05,0.3708111939711625
2021-07-19,0.3118244483004383
2021-08-02,0.5576479299676527
2021-08-16,0.4731243820415513
2021-08-30,0.36793189776278834
2021-09-13,0.6053033892270904
2021-09-27,0.39965313703591776
2021-10-11,0.5371210643601678
2021-10-25,0.6354376598335593
2021-11-08,0.5845749767570249
2021-11-22,0.388227173989237
2021-12-06,0.32459782214320915
2021-12-20,0.33522939721538714
2022-01-04,0.3235078714417201
2022-01-10,0.20105433046342258
2022-01-24,0.44949474588411975
2022-02-21,0.551860615262588
2022-03-07,0.4105297249384402
2022-03-21,0.4067110393326103
2022-04-06,0.34044979760694216
2022-04-18,0.5203936996763247
2022-05-05,0.5967555363159002
2022-05-16,0.40423138409214815
2022-05-30,0.3508136367415684
2022-06-13,0.3860612834255672
2022-06-27,0.4191239301649673
2022-07-11,0.3435289683471723
2022-07-25,0.4855612709573915
2022-08-08,0.3390128322524255
2022-08-22,0.3014403438033427
2022-09-05,0.36916606096639404
2022-09-19,0.3973328303149575
2022-10-10,0.4208455172951341
2022-10-17,0.3347420244594108
2022-10-31,0.3921206743593876
2022-11-14,0.35785116894674096
2022-11-28,0.3654574258844453
2022-12-12,0.3687590691541389
2022-12-26,0.3693133580125155
2023-01-09,0.3277843707782328
2023-01-30,0.33474967620314233
2023-02-06,0.24753392046177403
2023-02-20,0.3423325250243885
2023-03-06,0.344363041893609
2023-03-20,0.3570058867072621
2023-04-03,0.35396630637786547
2023-04-17,0.26840011478900994
2023-05-04,0.49102600657819495
2023-05-15,0.4779807215374697
2023-05-29,0.470157629477002
2023-06-12,0.33080420359769214
2023-07-10,0.454146386017816
2023-07-24,0.3278821712962069
2023-08-07,0.3743655652695692
2023-08-21,0.6431471562918318
2023-09-04,0.5525728573469462
2023-09-18,0.48517210528594357
2023-10-16,0.5345778476915131
2023-10-30,0.4249414095952452
